,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 3.3: Trend Plots of Average Mathematics Achievement Across Assessment Years,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The accompanying table (Exhibit 3.4) provides details, including statistical significance. See Appendix A for country participation in previous assessments.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Country,,2019,,2015,,2011,,2007,,2003,,1999,,1995,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Australia,,517,(3.8),505,(3.1),505,(5.2),496,(3.8),505,(4.7),,,509,(3.7),,,,,,,,,,
,,Bahrain,,481,(1.7),454,(1.4),409,(1.9),398,(1.6),401,(1.7),,,,,,,,,,,,,,
,,Chile,,441,(2.8),427,(3.2),416,(2.7),,,387,(3.3),392,(4.4),,,,,,,,,,,,
,,Chinese Taipei,,612,(2.7),599,(2.4),609,(3.2),598,(4.6),585,(4.6),585,(4.2),,,,,,,,,,,,
,,Cyprus,,501,(1.6),,,,,465,(1.7),459,(1.7),476,(1.9),468,(2.1),,,,,,,,,,
,,Egypt,,413,(5.2),392,(4.1),,,391,(3.6),406,(3.5),,,,,,,,,,,,,,
,,England,,515,(5.3),518,(4.2),507,(5.6),513,(4.9),498,(4.6),496,(4.2),498,(3.0),,,,,,,,,,
,,Finland,,509,(2.6),,,514,(2.5),,,,,,,,,,,,,,,,,,
,,France,,483,(2.5),,,,,,,,,,,530,(2.8),,,,,,,,,,
,,Georgia,,461,(4.3),453,(3.4),431,(3.7),410,(5.8),,,,,,,,,,,,,,,,
,,Hong Kong SAR,,578,(4.1),594,(4.6),586,(3.9),572,(5.9),586,(3.4),582,(4.3),569,(6.1),,,,,,,,,,
,,Hungary,,517,(2.9),514,(3.8),505,(3.5),517,(3.5),529,(3.3),532,(3.6),527,(3.2),,,,,,,,,,
,,"Iran, Islamic Rep. of",,446,(3.7),436,(4.6),415,(4.3),403,(4.1),411,(2.4),422,(3.4),418,(3.9),,,,,,,,,,
,,Ireland,,524,(2.6),523,(2.7),,,,,,,,,519,(4.9),,,,,,,,,,
,,Israel,,519,(4.3),511,(4.1),516,(4.1),,,,,,,,,,,,,,,,,,
,,Italy,,497,(2.7),494,(2.5),498,(2.3),480,(3.1),484,(3.2),479,(3.9),,,,,,,,,,,,
,,Japan,,594,(2.7),586,(2.3),570,(2.6),570,(2.4),570,(2.1),579,(1.7),581,(1.6),,,,,,,,,,
,,Jordan,,420,(4.3),386,(3.2),406,(3.9),427,(4.2),424,(4.1),428,(3.7),,,,,,,,,,,,
,,Kazakhstan,,488,(3.3),,,487,(4.2),,,,,,,,,,,,,,,,,,
,,"Korea, Rep. of",,607,(2.8),606,(2.6),613,(2.9),597,(2.6),589,(2.2),587,(2.0),581,(2.0),,,,,,,,,,
,,Kuwait,,403,(5.0),392,(4.6),,,,,,,,,,,,,,,,,,,,
,,Lebanon,,429,(2.9),442,(3.6),449,(3.9),449,(4.1),433,(3.1),,,,,,,,,,,,,,
,,Lithuania,,520,(2.9),511,(2.8),502,(2.5),506,(2.5),502,(2.5),482,(4.3),472,(4.1),,,,,,,,,,
,,Malaysia,,461,(3.2),465,(3.6),440,(5.5),474,(5.1),508,(4.1),519,(4.5),,,,,,,,,,,,
,,Morocco,,388,(2.3),384,(2.3),371,(2.0),,,,,,,,,,,,,,,,,,
,,New Zealand,,482,(3.4),493,(3.4),488,(5.4),,,494,(5.5),491,(5.3),501,(4.7),,,,,,,,,,
,,Norway (9),,503,(2.4),512,(2.3),,,,,,,,,,,,,,,,,,,,
,,Oman,,411,(2.8),403,(2.4),366,(2.9),372,(3.4),,,,,,,,,,,,,,,,
,,Portugal,,500,(3.2),,,,,,,,,,,451,(3.1),,,,,,,,,,
,,Qatar,,443,(4.0),437,(3.0),410,(3.1),,,,,,,,,,,,,,,,,,
,,Romania,,479,(4.3),,,458,(4.1),461,(4.2),475,(4.9),472,(5.6),474,(4.5),,,,,,,,,,
,,Russian Federation,,543,(4.5),538,(4.7),539,(3.6),512,(4.0),508,(3.8),526,(5.8),524,(5.2),,,,,,,,,,
,,Saudi Arabia,,394,(2.5),368,(4.6),394,(4.7),,,,,,,,,,,,,,,,,,
,,Singapore,,616,(4.0),621,(3.2),611,(3.8),593,(3.8),605,(3.6),604,(6.3),609,(4.0),,,,,,,,,,
,,South Africa (9),,389,(2.3),372,(4.5),352,(2.5),,,,,,,,,,,,,,,,,,
,,Sweden,,503,(2.5),501,(2.8),484,(1.9),491,(2.3),499,(2.7),,,540,(4.3),,,,,,,,,,
,,Turkey,,496,(4.3),458,(4.7),452,(4.0),,,,,,,,,,,,,,,,,,
,,United Arab Emirates,,473,(1.9),465,(2.0),456,(2.1),,,,,,,,,,,,,,,,,,
,,United States,,515,(4.8),518,(3.1),509,(2.7),508,(2.9),504,(3.4),502,(3.9),492,(4.9),,,,,,,,,,
,Benchmarking Participants,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Ontario, Canada",,530,(4.3),522,(2.9),512,(2.4),517,(3.6),521,(3.1),517,(3.0),501,(3.0),,,,,,,,,,
,,"Quebec, Canada",,543,(3.7),543,(3.9),532,(2.4),528,(3.5),543,(3.1),566,(4.8),556,(6.0),,,,,,,,,,
,,"Abu Dhabi, UAE",,436,(2.9),442,(4.7),449,(3.7),,,,,,,,,,,,,,,,,,
,,"Dubai, UAE",,537,(2.0),512,(2.1),478,(2.2),461,(2.3),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"An empty cell indicates a country did not participate in that year's assessment or did not have comparable data. 
See Appendix A for country participation in previous TIMSS assessments.
Results for Lithuania before 2015 do not include students taught in Polish or Russian.  
( ) Standard errors appear in parentheses. Because of rounding some results may appear inconsistent.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SOURCE:  IEA's Trends in International Mathematics and Science Study - TIMSS 2019,,,,,,,,,,,,,,,,,,,,,,,,,,
,Downloaded from http://timss2019.org/download,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
