,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exhibit 4.3: Trend Plots of Average Science Achievement Across Assessment Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The accompanying table (Exhibit 4.4) provides details, including statistical significance. See Appendix A for country participation in previous assessments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Country,,2019,,2015,,2011,,2007,,2003,,1999,,1995,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Australia,,528,(3.2),512,(2.7),519,(4.7),515,(3.6),527,(3.9),,,514,(3.9),,,,,,,,,,,,
,,Bahrain,,486,(1.9),466,(2.2),452,(1.9),467,(1.7),438,(1.7),,,,,,,,,,,,,,,,
,,Chile,,462,(2.9),454,(3.1),461,(2.5),,,413,(2.8),420,(3.8),,,,,,,,,,,,,,
,,Chinese Taipei,,574,(1.9),569,(2.1),564,(2.3),561,(3.6),571,(3.5),569,(4.2),,,,,,,,,,,,,,
,,Cyprus,,484,(1.9),,,,,452,(2.2),441,(2.1),460,(2.3),452,(1.9),,,,,,,,,,,,
,,Egypt,,389,(5.4),371,(4.3),,,408,(3.6),421,(3.9),,,,,,,,,,,,,,,,
,,England,,517,(4.8),537,(3.8),533,(4.9),542,(4.4),544,(4.0),538,(4.8),533,(3.5),,,,,,,,,,,,
,,Finland,,543,(3.1),,,552,(2.4),,,,,,,,,,,,,,,,,,,,
,,France,,489,(2.7),,,,,,,,,,,488,(3.2),,,,,,,,,,,,
,,Georgia,,447,(3.9),443,(3.1),420,(3.0),421,(4.6),,,,,,,,,,,,,,,,,,
,,Hong Kong SAR,,504,(5.2),546,(3.9),535,(3.4),530,(5.0),556,(3.0),530,(3.5),510,(5.9),,,,,,,,,,,,
,,Hungary,,530,(2.6),527,(3.4),522,(3.1),539,(2.9),543,(2.8),552,(3.6),537,(3.2),,,,,,,,,,,,
,,"Iran, Islamic Rep. of",,449,(3.6),456,(4.0),474,(4.0),459,(3.7),453,(2.4),448,(3.8),463,(3.7),,,,,,,,,,,,
